miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
pme-miR-203-3p,147219.2121,0.2944,0.117157,2.5133,0.011961373,0.033365936
pme-miR-200a-3p,43442.7761,-0.2087,0.083793,-2.4902,0.012768384,0.035307359
pme-miR-183-5p,907.1257,-0.5246,0.211393,-2.4818,0.013071962,0.035835207
pme-miR-8159-5p,627.8495,-2.1926,0.909183,-2.4116,0.015881838,0.043166022
pme-miR-29a-1-5p,467.9056,0.3702,0.155033,2.3877,0.016955614,0.045693942
pme-miR-203a-5p,2427.9025,0.3278,0.138291,2.3701,0.01778565,0.047365446
pme-miR-27a-3p,3130.7958,0.3560,0.150303,2.3682,0.017873753,0.047365446
pme-miR-19b-3p,9462.4441,0.2941,0.125340,2.3461,0.018969456,0.049853611
pme-miR-203b-5p,6635.8281,0.3211,0.138733,2.3143,0.020649638,0.053457954
pme-miR-26b/a-2/3-5p,461807.2298,0.1861,0.080439,2.3138,0.020677133,0.053457954
pme-miR-10b-1-5p,35667.1842,-0.3703,0.160779,-2.3033,0.021260354,0.05452252
pme-miR-460-3p,1300.2590,0.2514,0.110716,2.2708,0.023158301,0.058914717
pme-miR-181b-2-3p,108.6734,0.5206,0.229764,2.2657,0.023469933,0.059210046
pme-miR-145-5p,4932.1837,0.3964,0.175179,2.2628,0.023646779,0.059210046
pme-miR-7132b-3p,2056.5061,-0.2742,0.125788,-2.1803,0.029238355,0.072639039
pme-miR-460-5p,462.7235,0.3281,0.151284,2.1687,0.030105699,0.074214049
pme-miR-24-4a-5p,719.2951,0.4861,0.225038,2.1599,0.030779649,0.075291758
pme-miR-24-4b-5p,9.8132,-0.9676,0.456753,-2.1183,0.03414624,0.082889345
pme-miR-20a-5p,2446.0285,0.2568,0.121653,2.1112,0.034755142,0.083728297
pme-miR-122-5p,55.4222,-1.7827,0.858456,-2.0766,0.037835152,0.090462994
pme-miR-734-3p,49.1631,-0.8288,0.401389,-2.0649,0.038927923,0.092381191
pme-miR-25-5p,128.9154,-0.3508,0.171281,-2.0478,0.040577612,0.095582819
pme-miR-365-2b-3p,122.1959,-0.3728,0.183680,-2.0294,0.042420654,0.099189471
pme-miR-107a-5p,6.8746,1.0159,0.504385,2.0141,0.043994806,0.102119331
pme-miR-21-5p,368123.3082,-0.2638,0.132079,-1.9971,0.045809418,0.105560834
pme-miR-190a-3p,7.9303,1.1373,0.580342,1.9597,0.050031945,0.114461573
pme-miR-26b-3p,36.8639,0.6321,0.324271,1.9493,0.051263069,0.1164404
pme-miR-8160b-5p,600.2192,0.5064,0.261804,1.9344,0.053065211,0.119678986
pme-miR-125b-3-3p,80.0710,-0.4007,0.210281,-1.9057,0.056687538,0.126948149
pme-miR-125a-5p,49729.9529,0.1673,0.088355,1.8937,0.058262719,0.129563249
pme-miR-222a-5p,3030.2601,-0.3925,0.207767,-1.8891,0.058882547,0.130032291
pme-let-7a-2-5p,248.9893,-0.7268,0.386474,-1.8807,0.060018182,0.131626082
pme-miR-20a-1-3p,205.1502,0.2981,0.161902,1.8415,0.065545232,0.141999573
pme-miR-199-3p,55303.0600,0.2901,0.157614,1.8409,0.065641312,0.141999573
pme-miR-2187a-5p,17.8227,0.5968,0.325236,1.8350,0.066499772,0.142884646
pme-miR-729-5p,3.9199,-1.3122,0.727146,-1.8046,0.071138524,0.151825844
pme-miR-200b-5p,250.3019,-0.3186,0.176859,-1.8013,0.071648346,0.151894493
pme-miR-456-3p,3695.6535,-0.1441,0.080934,-1.7807,0.074967231,0.157878009
pme-miR-205-1a-3p,108.0214,-0.3029,0.170977,-1.7716,0.076452906,0.159947528
pme-miR-24-3-5p,38.5474,0.4064,0.237221,1.7131,0.086690326,0.180179893
pme-miR-142-3p,2217.2134,0.4505,0.264960,1.7003,0.089073889,0.183931796
pme-miR-1-3p,102.8075,-0.2820,0.166257,-1.6963,0.089826684,0.184289583
pme-miR-26a-1b-3p,246.4287,-0.1806,0.106893,-1.6899,0.091040202,0.185581951
pme-miR-425-5p,318509.8049,-0.2523,0.150643,-1.6748,0.093969303,0.190332728
